"",,CIVIL ENGINEERING[Full Time]
"",Course Code,Course
MA202,,"PROBABILITY DISTRIBUTIONS, TRANSFORMS AND"
"",,NUMERICAL METHODS
CE202,,STRUCTURAL ANALYSIS I
CE204,,CONSTRUCTION TECHNOLOGY
CE206,,FLUID MECHANICS II
CE208,,GEOTECHNICAL ENGINEERING I
HS210,,LIFE SKILLS
CE232,,MATERIALS TESTING LAB I
CE234,,FLUID MECHANICS LAB
Register No,Course Code (Grade)
LTVE15CE129,"CE204(Absent), CE206(C), CE208(Absent)"
LTVE16CE126,CE206(C)
LTVE16CE130,"MA202(C), CE202(P), CE206(C), CE208(Absent)"
LTVE16CE131,"MA202(F), CE208(C)"
LTVE16CE132,CE206(B)
LTVE17CE127,"HS210(B+), MA202(B), CE202(F), CE204(B+), CE206(B+), CE208(B), CE232(O), CE234(O)"
LTVE17CE128,"HS210(B+), MA202(C), CE202(B), CE204(A), CE206(C), CE208(B), CE232(O), CE234(O)"
LTVE17CE129,"HS210(B), MA202(F), CE202(C), CE204(B+), CE206(C), CE208(C), CE232(A), CE234(A+)"
LTVE17CE130,"HS210(B+), MA202(C), CE202(A), CE204(B), CE206(B), CE208(B), CE232(A), CE234(O)"
LTVE17CE131,"HS210(A), MA202(A), CE202(A+), CE204(O), CE206(A), CE208(A), CE232(O), CE234(O)"
LTVE17CE132,"HS210(B+), MA202(B+), CE202(B), CE204(O), CE206(B+), CE208(A+), CE232(O), CE234(O)"
LTVE17CE133,"HS210(B+), MA202(Withheld), CE202(P), CE204(B+), CE206(Withheld), CE208(Withheld),CE232(B+), CE234(A+)"
LTVE17CE134,"HS210(B+), MA202(P), CE202(F), CE204(B+), CE206(F), CE208(C), CE232(A+), CE234(B+)"
LTVE17CE135,"HS210(B+), MA202(F), CE202(B), CE204(B+), CE206(F), CE208(C), CE232(A), CE234(A)"
LTVE17CE136,"HS210(B+), MA202(B+), CE202(B+), CE204(A+), CE206(B), CE208(B+), CE232(A+), CE234(A+)"
